id ,product,category,brand,sale_price,rating,company
1,Garlic Oil - Vegetarian Capsule 500 mg,Beauty & Hygiene,Sri Sri Ayurveda ,220,4.1,big basket
2,Water Bottle - Orange,"Kitchen, Garden & Pets",Mastercook,180,2.3,big basket
3,"Brass Angle Deep - Plain, No.2",Cleaning & Household,Trm,119,3.4,big basket
4,Cereal Flip Lid Container/Storage Jar - Assorted Colour,Cleaning & Household,Nakoda,149,3.7,big basket
5,Creme Soft Soap - For Hands & Body,Beauty & Hygiene,Nivea,162,4.4,big basket
6,Germ - Removal Multipurpose Wipes,Cleaning & Household,Nature Protect,169,3.3,big basket
7,Multani Mati,Beauty & Hygiene,Satinance,58,3.6,big basket
8,Hand Sanitizer - 70% Alcohol Base,Beauty & Hygiene,Bionova,250,4,big basket
9,Biotin & Collagen Volumizing Hair Shampoo + Biotin & Collagen Hair Conditioner,Beauty & Hygiene,StBotanica,1098,3.5,big basket
10,"Scrub Pad - Anti- Bacterial, Regular",Cleaning & Household,Scotch brite,20,4.3,big basket
11,Wheat Grass Powder - Raw,Gourmet & World Food,NUTRASHIL,261,4,big basket
12,Butter Cookies Gold Collection,Gourmet & World Food,Sapphire,600,2.2,big basket
13,"Face Wash - Oil Control, Active",Beauty & Hygiene,Oxy,110,5,big basket
14,Mold & Mildew Remover with Bleach,Cleaning & Household,Clorox,350,3.8,big basket
15,Just Spray - Mosquito Repellent Room Spray,Cleaning & Household,Herbal Strategi,200,4.2,big basket
16,Dove Plastic Soap Case - Assorted Colour,Cleaning & Household,Nakoda,49,4,big basket
17,Smooth Skin Oil - For Dry Skin,Beauty & Hygiene,Aroma Treasures,324,5,big basket
18,Salted Pumpkin,Gourmet & World Food,Graminway,180,4.9,big basket
19,Flax Seeds - Roasted,Gourmet & World Food,True Elements,120,4.3,big basket
20,Organic Tofu - Soy Paneer,Gourmet & World Food,Murginns,85.14,3.9,big basket
21,Ceramic Barrel Brush - Colour May Vary,Beauty & Hygiene,Bronson Professional,525,4.2,big basket
22,Instant Noodles - Chicken Satay Flavor,Gourmet & World Food,Koka,45,4.1,big basket
23,Chia Seeds,"Foodgrains, Oil & Masala",NaturoBell,120,3.9,big basket
24,Cleanse Green Tea - Whole Leaf Loose Tea,Gourmet & World Food,Cambridge Tea Party,75,3.9,big basket
25,Veggie Cutter,"Kitchen, Garden & Pets",IRICH,195,5,big basket
26,Insulated Hot Fresh Casserole For Roti/Chapati - White,"Kitchen, Garden & Pets",Cello,659,3.3,big basket
27,Granola - Happy Berries,Snacks & Branded Foods,Fit & Flex,245,3.5,big basket
28,Flaxseed - Pesticide Free,"Foodgrains, Oil & Masala",Safe Harvest,53.9,4,big basket
29,Paratha Puff,Snacks & Branded Foods,Switz,90,4.3,big basket
30,Lip Butter - Rose,Beauty & Hygiene,Organic Harvest,169.15,1.5,big basket
31,Fruit Power - Masala Sugarcane,Beverages,Real,19,2.9,big basket
32,Chocobakes Choc Filled Cookies,"Bakery, Cakes & Dairy",Cadbury,102,4.2,big basket
33,Amber - Deodorant Body Spray,Beauty & Hygiene,Old Spice,211.65,3.4,big basket
34,Green Tea - Tulsi Loose Leaf,Beverages,Octavius,225,3.7,big basket
35,Pet Solitaire Container Set - Silver,"Kitchen, Garden & Pets",Steelo,499,3.9,big basket
36,Dhania - Dal,"Foodgrains, Oil & Masala",bb Royal,98,4.1,big basket
37,Pudina Chutney Masala,"Foodgrains, Oil & Masala",Catch,46.75,3.9,big basket
38,Bodylicious Deodorant Spray - Mate (For Men),Beauty & Hygiene,Engage,136.5,4.1,big basket
39,"Sport Deo Spray - Fresh, for Men",Beauty & Hygiene,Engage,112.75,3.7,big basket
40,Choco Deck - Mini Delights,Snacks & Branded Foods,Fabelle,160,4.4,big basket
41,Eau De Toilette - Homme Green,Beauty & Hygiene,Colour Me,427.5,4.3,big basket
42,Lemon & Tea Tree Oil Soap,Beauty & Hygiene,Liril,360,4.2,big basket
43,Flavoured Cream Wafer Roll - Strawberry,Gourmet & World Food,Twister,275,4.3,big basket
44,Storage/Lunch Steel Container with PP Lid - Red,"Kitchen, Garden & Pets",Classic Essentials,109,2.6,big basket
45,Plain Green Olives,Gourmet & World Food,Figaro,179,5,big basket
46,Quinoa - Organic,"Foodgrains, Oil & Masala",Organic Tattva,250,3.9,big basket
47,After Shave Splash - Arctic Ice,Beauty & Hygiene,Gillette,459.62,3.9,big basket
48,Colour Catcher Sheets,Cleaning & Household,Dylon ,799,4,big basket
49,Sauce - Sweet & Sour,Gourmet & World Food,Pantai,245,3.7,big basket
50,Super Hot and Sweet Mango Chutney,Snacks & Branded Foods,Spice Story,100,3,big basket
51,Pani Puri Mix Paste,"Foodgrains, Oil & Masala",Mother's Recipe,48.95,4.1,big basket
52,Peach Syrup,Gourmet & World Food,Pekers,850,4.2,big basket
53,Acne & Oil Control Face Wash,Beauty & Hygiene,Red Hunt,80,4,big basket
54,Choco Deck - French Dessert Inspired Layered Bar,Snacks & Branded Foods,Fabelle,56,4,big basket
55,Extra Fine Green Peas,Gourmet & World Food,Daucy,202.5,4.5,big basket
56,Soothing Cucumber Facial Scrub With Apricot Seeds,Beauty & Hygiene,TJORI,299.4,,big basket
57,Foochka,Snacks & Branded Foods,Shareat,60,3.9,big basket
58,Argan-Liquid Gold Hair Spa,Beauty & Hygiene,Aroma Treasures,199.5,4.4,big basket
59,"Baby Bed Protector - Sublimation Print, Pink",Baby Care,Quick Dry,199,3.7,big basket
60,Corporate Planner Diary With Premium PU Leather Cover With Card Holder,Cleaning & Household,Prozo Plus,399,,big basket
61,"Atta Chalan - Stainless Steel, Size- No.8","Kitchen, Garden & Pets",Kvg,149,3.5,big basket
62,Dog Supplement - Absolute Skin + Coat Tablet,"Kitchen, Garden & Pets",Drools,348.6,4,big basket
63,"Peanut Butter - Creamy, Super",Gourmet & World Food,Happilo,209.4,4.3,big basket
64,Sugar Free Petit Beurre - The Taste of France,Snacks & Branded Foods,Bisk Farm,35,4,big basket
65,Aqua Halo Rejuvenating Conditioner,Beauty & Hygiene,Azafran,168.75,1,big basket
66,Ayurvedic Anti-Tan Face Pack,Beauty & Hygiene,TJORI,269.4,,big basket
67,Dog Supplement - Absolute Calcium Tablet,"Kitchen, Garden & Pets",Drools,339.15,3.9,big basket
68,Battery Power Kids Toothbrush - Barbie,Beauty & Hygiene,Colgate,374.25,4,big basket
69,Organic Carom Seeds/Ajwain/Om Kalu,"Foodgrains, Oil & Masala",Earthon,72,,big basket
70,"Padded Harness - 3/4 inch, Grey Colour","Kitchen, Garden & Pets",Glenand,840,,big basket
71,"Kids Motu Patlu Toothpaste - 2-5 Years, Bubble Fruit Flavour",Beauty & Hygiene,Colgate,43,4,big basket
72,Pure & Gentle Face Wash,Beauty & Hygiene,Pears,120,4.3,big basket
73,Sesame Seed Oil,Beauty & Hygiene,INATUR ,210,3.5,big basket
74,Til Dil Seeds,Gourmet & World Food,Mantra,70,3.6,big basket
75,"Penta Plastic Pet Water Bottle - Green, Wide Mouth","Kitchen, Garden & Pets",BB Home,75,,big basket
76,Acne Pimple Kit For Acne & Pimple Removal,Beauty & Hygiene,Natures Essence,500,3,big basket
77,"Disposable Bamboo Wood Skewer/Picker Sticks- For Barbeque, 12 Inch","Kitchen, Garden & Pets",Bamboooz,135,4.3,big basket
78,& Moms Bathing Soap - Jasmine,Beauty & Hygiene,Dettol,108,4.6,big basket
79,Amla Chatpata Dry Fruit,Gourmet & World Food,Fresho Signature,49,,big basket
80,"Toothbrush Superhero Assorted, Batman/Spiderman",Beauty & Hygiene,Colgate,49,3.9,big basket
81,Chips - Topica,Snacks & Branded Foods,Sanjay ,65,3.9,big basket
82,Cup a Soup - Croutons Cream of Asparagus,Gourmet & World Food,Batchelors,269.1,,big basket
83,Organic Dal - Masoor,"Foodgrains, Oil & Masala",Pro Nature,96,3.9,big basket
84,Strawberry Ice Cream,Gourmet & World Food,Haagen-Dazs,225,,big basket
85,Exo Dishwash Bar- Round 700 gm Box + Pril Dishwash Liquid- Active 2X Lime 225 ml,Cleaning & Household,bb Combo,95,,big basket
86,Jupiter Water/Juice Glass Tumbler,"Kitchen, Garden & Pets",BB Home,479,,big basket
87,"Cheese - Feta Greek, Block",Gourmet & World Food,Fresho Signature,695.7,,big basket
88,Avida 3-in-1 Semi Economy Pouch -  FG01248,Cleaning & Household,Shalimar,31.5,4.6,big basket
89,Bathing Soap - Sandal & Turmeric,Beauty & Hygiene,Godrej No.1,254.15,4.2,big basket
90,Sweet Corn Kernels - Chipotle,Fruits & Vegetables,Supa Corn,55,,big basket
91,Ashwagandha Tablets,Beauty & Hygiene,Muniyal Ayurveda,120,,big basket
92,Hard Anodised Ezee-Pour Saucepan With Lid - L88,"Kitchen, Garden & Pets",Hawkins Futura,864.5,4.6,big basket
93,Topp Up Milk - Elaichi,"Bakery, Cakes & Dairy",Gowardhan,80.01,5,big basket
94,Namkeen - Madras Mixture,Snacks & Branded Foods,Townbus,10,4.1,big basket
95,"Stainless Steel Storage Lunch Container - Flat, Carry Snack Pack","Kitchen, Garden & Pets",Ramson,129,1.5,big basket
96,Oceans Deodorant for Men - Long Lasting & Fresh Aquatic Fragrance,Beauty & Hygiene,Brut,179.4,4,big basket
97,Hair Remover Spray - Foam Lemon,Beauty & Hygiene,Dimples,1200,,big basket
98,Mr. Magic Powder-To-Liquid Germ Protection Handwash Empty Bottle + Refill,Beauty & Hygiene,Godrej Protekt,32.55,4.4,big basket
99,Frankincense Oil,Beauty & Hygiene,Organic Harvest,258.75,3.7,flipkart
100,Alisha Solid Women's Cycling Shorts,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Shorts >> Alisha Shorts >> Alisha Solid Women's Cycling Shorts""]",Alisha,999,No rating available,flipkart
101,FabHomeDecor Fabric Double Sofa Bed,"[""Furniture >> Living Room Furniture >> Sofa Beds & Futons >> FabHomeDecor Fabric Double Sofa Bed (Finish Colo...""]",FabHomeDecor,32157,No rating available,flipkart
102,AW Bellies,"[""Footwear >> Women's Footwear >> Ballerinas >> AW Bellies""]",AW,999,No rating available,flipkart
103,Alisha Solid Women's Cycling Shorts,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Shorts >> Alisha Shorts >> Alisha Solid Women's Cycling Shorts""]",Alisha,699,No rating available,flipkart
104,Sicons All Purpose Arnica Dog Shampoo,"[""Pet Supplies >> Grooming >> Skin & Coat Care >> Shampoo >> Sicons All Purpose Arnica Dog Shampoo (500 ml)""]",Sicons,220,No rating available,flipkart
105,Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish,"[""Eternal Gandhi Super Series Crystal Paper Weight...""]",Eternal Gandhi,430,No rating available,flipkart
106,Alisha Solid Women's Cycling Shorts,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Shorts >> Alisha Shorts >> Alisha Solid Women's Cycling Shorts""]",Alisha,1199,No rating available,flipkart
107,FabHomeDecor Fabric Double Sofa Bed,"[""Furniture >> Living Room Furniture >> Sofa Beds & Futons >> FabHomeDecor Fabric Double Sofa Bed (Finish Colo...""]",FabHomeDecor,32157,No rating available,flipkart
108,"dilli bazaaar Bellies, Corporate Casuals, Casuals","[""Footwear >> Women's Footwear >> Ballerinas >> dilli bazaaar Bellies, Corporate Casuals, Casuals""]",dilli bazaaar,699,No rating available,flipkart
109,Alisha Solid Women's Cycling Shorts,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Shorts >> Alisha Shorts >> Alisha Solid Women's Cycling Shorts""]",Alisha,1199,No rating available,flipkart
110,Ladela Bellies,"[""Footwear >> Women's Footwear >> Ballerinas >> Ladela Bellies""]",Ladela,1724,5,flipkart
111,Carrel Printed Women's,"[""Clothing >> Women's Clothing >> Sports & Gym Wear >> Swimsuits >> Carrel Swimsuits >> Carrel Printed Women's""]",Carrel,2299,No rating available,flipkart
112,Sicons All Purpose Tea Tree Dog Shampoo,"[""Pet Supplies >> Grooming >> Skin & Coat Care >> Shampoo >> Sicons All Purpose Tea Tree Dog Shampoo (200 ml)""]",Sicons,,No rating available,flipkart
113,Alisha Solid Women's Cycling Shorts,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Shorts >> Alisha Shorts >> Alisha Solid Women's Cycling Shorts""]",Alisha,999,No rating available,flipkart
114,Freelance Vacuum Bottles 350 ml Bottle,"[""Pens & Stationery >> School Supplies >> Water Bottles >> Freelance Water Bottles >> Freelance Vacuum Bottles 350 ml Bottle (Pack of ...""]",Freelance,699,No rating available,flipkart
115,Alisha Solid Women's Cycling Shorts,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Shorts >> Alisha Shorts >> Alisha Solid Women's Cycling Shorts""]",Alisha,999,No rating available,flipkart
116,FabHomeDecor Fabric Double Sofa Bed,"[""Furniture >> Living Room Furniture >> Sofa Beds & Futons >> FabHomeDecor Fabric Double Sofa Bed (Finish Colo...""]",FabHomeDecor,32157,No rating available,flipkart
117,Style Foot Bellies,"[""Footwear >> Women's Footwear >> Ballerinas >> Style Foot Bellies""]",Style Foot,899,No rating available,flipkart
118,Carrel Printed Women's,"[""Clothing >> Women's Clothing >> Sports & Gym Wear >> Swimsuits >> Carrel Swimsuits >> Carrel Printed Women's""]",Carrel,2499,No rating available,flipkart
119,FabHomeDecor Fabric Double Sofa Bed,"[""Furniture >> Living Room Furniture >> Sofa Beds & Futons >> FabHomeDecor Fabric Double Sofa Bed (Finish Colo...""]",FabHomeDecor,32157,No rating available,flipkart
120,Sicons Conditioning Conditoner Dog Shampoo,"[""Pet Supplies >> Grooming >> Skin & Coat Care >> Shampoo >> Sicons Conditioning Conditoner Dog Shampoo (200 ml)""]",Sicons,110,No rating available,flipkart
121,Alisha Solid Women's Cycling Shorts,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Shorts >> Alisha Shorts >> Alisha Solid Women's Cycling Shorts""]",Alisha,,No rating available,flipkart
122,dongli Printed Boy's Round Neck T-Shirt,"[""Clothing >> Kids' Clothing >> Boys Wear >> Polos & T-Shirts >> dongli Polos & T-Shirts >> dongli Printed Boy's Round Neck T-Shirt (Pack of 4)""]",dongli,2400,No rating available,flipkart
123,SWAGGA Women Clogs,"[""Footwear >> Women's Footwear >> Sports Sandals >> SWAGGA Women Clogs""]",SWAGGA,1500,No rating available,flipkart
124,Kennel Rubber Dumbell With Bell - Small Rubber Rubber Toy For Dog,"[""Pet Supplies >> Toys >> Comfort Toys""]",Kennel,190,No rating available,flipkart
125,Glus Wedding Lingerie Set,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Lingerie Sets >> Glus Lingerie Sets""]",,1299,No rating available,flipkart
126,Veelys Shiny White Quad Roller Skates - Size 4.5 UK,"[""Sports & Fitness >> Other Sports >> Skating >> Skates >> Veelys Skates""]",,3199,No rating available,flipkart
127,Bulaky vanity case Jewellery Vanity Case,"[""Beauty and Personal Care >> Makeup >> Vanity Boxes >> Bulaky Vanity Boxes""]",,499,3,flipkart
128,FDT Women's Leggings,"[""Clothing >> Women's Clothing >> Fusion Wear >> Leggings & Jeggings >> Legging Jegging >> FDT Legging Jegging""]",,699,No rating available,flipkart
129,Madcaps C38GR30 Men's Cargos,"[""Clothing >> Men's Clothing >> Cargos, Shorts & 3/4ths >> Cargos >> Madcaps Cargos""]",,2199,No rating available,flipkart
130,Bengal Blooms Rose Artificial Plant  with Pot,"[""Bengal Blooms Rose Artificial Plant  with Pot (3...""]",Bengal Blooms,799,No rating available,flipkart
131,Indcrown Net Embroidered Semi-stitched Lehenga Choli Material,"[""Clothing >> Women's Clothing >> Ethnic Wear >> Fabric >> Lehenga Choli Material >> Indcrown Lehenga Choli Material >> Indcrown Net Embroidered Semi-stitched Lehenga C...""]",Indcrown,999,No rating available,flipkart
132,Shopmania Music Band A5 Notebook Spiral Bound,"[""Pens & Stationery >> Diaries & Notebooks >> Notebooks >> Designer >> Shopmania Designer >> Shopmania Music Band A5 Notebook Spiral Bound (M...""]",Shopmania,499,No rating available,flipkart
133,Shopmania Music Band A5 Notebook Spiral Bound,"[""Pens & Stationery >> Diaries & Notebooks >> Notebooks >> Designer >> Shopmania Designer >> Shopmania Music Band A5 Notebook Spiral Bound (M...""]",Shopmania,499,No rating available,flipkart
134,"Tiara Diaries 2016-2017 Designer LA Kaarta ""TAKING ACTION GETTING RESULT"" (Set of 3) B5 Notebook Hard Bound","[""Pens & Stationery >> Diaries & Notebooks >> Notebooks >> Designer >> Tiara Diaries Designer >> Tiara Diaries 2016-2017 Designer LA Kaarta \""TAKI...""]",Tiara Diaries,1000,No rating available,flipkart
135,KAJCI Embroidered Women's Waistcoat,"[""Clothing >> Women's Clothing >> Formal Wear >> Waistcoats >> KAJCI Waistcoats >> KAJCI Embroidered Women's Waistcoat""]",KAJCI,1200,No rating available,flipkart
136,Packman 8 x 10 inches Security Bags Without POD Jacket Courier Bag Security Bag,"[""Pens & Stationery >> Office Supplies >> Packaging Security Bags >> Packman Packaging Security Bags >> Packman 8 x 10 inches Security Bags Without POD ...""]",Packman,350,No rating available,flipkart
137,Pick Pocket Embroidered Women's Waistcoat,"[""Clothing >> Women's Clothing >> Formal Wear >> Waistcoats >> Pick Pocket Waistcoats >> Pick Pocket Embroidered Women's Waistcoat""]",Pick Pocket,899,No rating available,flipkart
138,Angelfish Silk Potali Potli,"[""Bags, Wallets & Belts >> Bags >> Pouches and Potlis >> Angelfish Pouches and Potlis >> Angelfish Silk Potali Potli (Multicolor)""]",Angelfish,999,No rating available,flipkart
139,Oye Boy's Dungaree,"[""Clothing >> Kids' Clothing >> Boys Wear >> Dungarees & Jumpsuits >> Dungarees >> Oye Dungarees >> Oye Boy's Dungaree""]",Oye,899,No rating available,flipkart
140,Nuride Canvas Shoes,"[""Footwear >> Women's Footwear >> Casual Shoes >> Canvas >> Nuride Canvas Shoes""]",Nuride,1999,No rating available,flipkart
141,OM SHIVAKRITI Square wall Clock Showpiece  -  38.1 cm,"[""Home Decor & Festive Needs >> Showpiece >> Gramophones >> OM SHIVAKRITI Gramophones >> OM SHIVAKRITI Square wall Clock Showpiece  -  38...""]",OM SHIVAKRITI,1499,No rating available,flipkart
142,Himmlisch ST381 Magnetic Sun Shade For Maruti Alto,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Sun Shades >> Himmlisch ST381 Magnetic Sun Shade For Maruti Al...""]",Himmlisch,6999,No rating available,flipkart
143,Rapter BNC-179 BNC Wire Connector,"[""Tools & Hardware >> Tools >> Hardware & Electricals >> Hardware >> Wire Joints & Connectors >> Rapter BNC-179 BNC Wire Connector (Silver, Pack ...""]",Rapter,2299,No rating available,flipkart
144,Vishudh Printed Women's Straight Kurta,"[""Vishudh Printed Women's Straight Kurta""]",Vishudh,999,No rating available,flipkart
145,Vishudh Printed Women's Straight Kurta,"[""Vishudh Printed Women's Straight Kurta""]",Vishudh,899,No rating available,flipkart
146,Vishudh Printed Women's Anarkali Kurta,"[""Vishudh Printed Women's Anarkali Kurta""]",Vishudh,2099,No rating available,flipkart
147,BuildTrack PIR Wireless Motion Sensor - One Switch Control Wireless Sensor Security System,"[""BuildTrack PIR Wireless Motion Sensor - One Swit...""]",BuildTrack,6500,No rating available,flipkart
148,Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER Wired Sensor Security System,"[""Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER...""]",Skayvon,9990,No rating available,flipkart
149,MASARA Solid Women's Straight Kurta,"[""MASARA Solid Women's Straight Kurta""]",MASARA,1399,No rating available,flipkart
150,Vishudh Printed Women's Straight Kurta,"[""Vishudh Printed Women's Straight Kurta""]",Vishudh,899,No rating available,flipkart
151,Rapter BNC-047 BNC Wire Connector,"[""Tools & Hardware >> Tools >> Hardware & Electricals >> Hardware >> Wire Joints & Connectors >> Rapter BNC-047 BNC Wire Connector (Silver, Pack ...""]",Rapter,1299,No rating available,flipkart
